repeat,split_seed,encoding,encoding_order,k_values,theoretical_features,train_seen_features,model,model_order,train_size,test_size,AUROC,fit_seconds
2,43,7-mer,4,7,16384,14784,XGBoost,0,11752,2939,0.6897194795728981,1.41521945502609
3,44,1-2mer,5,1-2,20,20,Random Forest,1,11752,2939,0.6898622476199063,6.20325468853116
3,44,1-2mer,5,1-2,20,20,SVM,2,11752,2939,0.6211941044310694,19.070802440866828
3,44,1-2mer,5,1-2,20,20,XGBoost,0,11752,2939,0.6461799215527153,0.3688892284408211
3,44,1-3mer,6,1-2-3,84,84,Random Forest,1,11752,2939,0.7793275624985911,6.417140319943428
3,44,1-3mer,6,1-2-3,84,84,SVM,2,11752,2939,0.6654831946980455,39.2848241655156
3,44,1-3mer,6,1-2-3,84,84,XGBoost,0,11752,2939,0.6973054409654126,0.4347669137641787
3,44,1-4mer,7,1-2-3-4,340,340,Random Forest,1,11752,2939,0.8212567533043289,6.13426261022687
3,44,1-4mer,7,1-2-3-4,340,340,SVM,2,11752,2939,0.7098333370903871,57.79679078608751
3,44,1-4mer,7,1-2-3-4,340,340,XGBoost,0,11752,2939,0.7295315705236582,0.5765534481033683
3,44,1-7mer,8,1-2-3-4-5-6-7,21844,20236,Random Forest,1,11752,2939,0.8529622960859014,6.483846629969776
3,44,1-7mer,8,1-2-3-4-5-6-7,21844,20236,SVM,2,11752,2939,0.8061684249678773,102.33814485929906
3,44,1-7mer,8,1-2-3-4-5-6-7,21844,20236,XGBoost,0,11752,2939,0.736243077628247,3.7077903235331178
3,44,1-mer,0,1,4,4,Random Forest,1,11752,2939,0.5214149722353719,5.566185597330332
3,44,1-mer,0,1,4,4,SVM,2,11752,2939,0.5593490058835464,10.472918587736784
3,44,1-mer,0,1,4,4,XGBoost,0,11752,2939,0.5492284420249017,0.3370375707745552
3,44,2-mer,1,2,16,16,Random Forest,1,11752,2939,0.6931820743445818,6.042337311431766
3,44,2-mer,1,2,16,16,SVM,2,11752,2939,0.6457891879503768,18.135597442276776
3,44,2-mer,1,2,16,16,XGBoost,0,11752,2939,0.6509485621754845,0.3654747633263469
3,44,3-mer,2,3,64,64,Random Forest,1,11752,2939,0.8007357250738261,6.237289258278906
3,44,3-mer,2,3,64,64,SVM,2,11752,2939,0.7320112260769595,26.93574906233698
3,44,3-mer,2,3,64,64,XGBoost,0,11752,2939,0.6858722564114125,0.373602575622499
3,44,4-mer,3,4,256,256,Random Forest,1,11752,2939,0.8337034031393942,5.8510884484276175
3,44,4-mer,3,4,256,256,SVM,2,11752,2939,0.7993254209778861,29.177210573107004
3,44,4-mer,3,4,256,256,XGBoost,0,11752,2939,0.7147015396406753,0.4217203948646784
3,44,7-mer,4,7,16384,14780,Random Forest,1,11752,2939,0.8582714828340208,7.0004553673788905
3,44,7-mer,4,7,16384,14780,SVM,2,11752,2939,0.8504340336481744,26.91936685424298
3,44,7-mer,4,7,16384,14780,XGBoost,0,11752,2939,0.7035076324549341,1.2254941212013364
